id,text
0,taarifa hiyo ilisema kuwa ongezeko la joto la maji juu ya wastani katikati ya bahari ya UNK inaashiria kuwepo kwa mvua za el nino UNK hadi mwishoni mwa april ishirini moja sifuri imeelezwa kuwa ongezeko la joto magharibi mwa bahari ya hindi linatarajiwa kuhamia katikati ya bahari hiyo hali ambayo itasababisha pepo kutoka kaskazini mashariki kuvuma kuelekea bahari ya hindi
1,aidha ilisema kuwa mwelekeo wa kupungua kwa joto kusini mashariki mwa bahari ya atlantic UNK kusababisha pepo kutoka magharibi kuvuma kuelekea magharibi mwa tanzania katika maeneo ya ziwa victoria
2,mwelekeo wa mvua wa septemba hadi desemba ishirini sifuri tisa unatarajiwa kuwa katika namna tofauti ambapo baadhi ya maeneo yanaweza kunufaika huku mengine UNK
3,ilifafanua kuwa msimu wa vuli UNK maeneo ambayo hupata mvua mara mbili ambayo ni kaskazini mwa nchi ikiwa ni nyanda za juu kaskazini mashariki kanda ya ziwa victoria na pwani ya kaskazini
4,katika maeneo hayo mvua zinatarajiwa kunyesha wiki ya pili na tatu ya septemba mwaka huu
5,mvua za msimu ambazo UNK mara moja kwa mwaka zinatarajiwa katika mikoa ya magharibi ambayo ni tabora rukwa kigoma kusini mwa mkoa wa shinyanga ambapo zinatarajiwa kuanza wiki ya kwanza ya novemba mwaka huu ambapo wastani wake unatarajiwa kuwa juu
6,katika mikoa ya kati mvua zinatarajiwa kunyesha singida na dodoma kuanzia wiki ya tatu na nne ya novemba mwaka huu na kupimwa juu ya wastani
7,mikoa ya nyanda za juu magharibi mvua UNK kuanza wiki ya tatu hadi ya nne ya novemba mwaka huu ambapo zinatarajiwa kuwa zaidi ya wastani wa kawaida
8,katika mikoa ya kusini na pwani ya kusini ambayo ni ruvuma mtwara pamoja na lindi mvua zinatarajiwa kuanza katika wiki ya tatu na nne ya novemba ambapo zinatarajiwa kuwa chini ya wastani
9,taarifa hiyo ilieleza kuwa baadhi ya maeneo yanaweza kuathirika kutokana na uwepo wa mvua hizo huku mengine UNK kwa kuwa na mvua za wastani
10,mamlaka ya hali ya hewa nchini UNK wakulima kuchagua zao UNK kupanda pamoja na kupata ushauri kutoka kwa maofisa ugavi wa kilimo ili kuongeza mavuno
11,rais jakaya kikwete amewataka majaji na mahakimu kuhakikisha tabaka la masikini linapata haki zao kupitia mahakama
12,rais kikwete aliyasema hayo jana wakati alipokuwa akifungua mkutano wa siku mbili wa chama cha kimataifa cha majaji wanawake wa afrika unaofanyika katika kituo cha mikutano ya kimataifa cha arusha
13,ni lazima muelewe kuwa kazi yenu ni kutafsiri sheria na ndio maana hata katiba ya tanzania UNK hivyo UNK uwezo huo kwa kutoa upendeleo kwa upande mmoja ama kwa tabaka fulani lenye uwezo kuliko lingine kwa kufanya hivyo mtakuwa UNK haki alisema rais kikwete
14,alisema kuwa haki ni msingi kwa maisha ya binadamu yeyote ndio sababu ya kuwepo kwa mahakama ili iweze kutenda haki kwa watu wote hivyo ni changamoto kwa majaji kuhakikisha kuwa jamii inayowazunguka UNK na inathamini mchango wao katika kutenda haki
15,alisema kuwa majaji wamepewa jukumu la kutafsiri sheria hivyo wanatakiwa kufanya hivyo bila ya kutumia visivyo uwezo na nguvu walizopewa kisheria kwa maslahi ya mtu fulani ama kikundi fulani
16,aliwataka majaji kuhakikisha uendeshwaji wa kesi unafanywa kwa haraka ili kuwezesha kesi UNK muda mrefu ambapo pia itasaidia kupungua kwa kesi kwenye mahakama
17,akizungumzia chama cha majaji wanawake tanzania rais kikwete alisema kuwa chama hicho kimekuwa na mchango mkubwa dhidi ya serikali kwa kusaidia katika masuala ya uanzishwaji sera za taifa ambapo alitaja baadhi kuwa ni mkakati wa taifa wa kupambana na umasikini
18,hata hivyo alisema nchi za afrika tanzania ikiwa mojawapo zipo tayari kupata maoni kutoka kwa majaji kuhusiana na masuala ya sheria ili ziweze kutoa haki kwa watu wote kwa maslahi ya taifa husika
19,mkutano huo ambao washiriki ni majaji wanawake kutoka nchi tisa za afrika utajadili baadhi ya mada ikiwemo haki za wanawake na mtoto haki za binadamu na uendeshwaji wa kesi na tumaini makene rais jakaya kikwete UNK salamu za rambirambi rais barack obama wa marekani kufuatia kifo cha seneta mashuhuri na mpigania hali bora za maisha ya watu bwana edward UNK
20,katika salamu hizo rais kikwete UNK marehemu kennedy kuwa ni kiongozi UNK daima kwa mchango wake UNK katika kupigania masuala ya haki za kiraia kwa watu wote amani huduma za afya na maendeleo ya kiuchumi kwa wamarekani bila kujali tofauti za rangi
21,taarifa iliyotolewa na wizara ya mambo ya nje na ushirikiano wa kimataifa imesema rais kikwete binafsi na kwa niaba ya watanzania amepokea kwa masikitiko makubwa kifo cha seneta kennedy na kuiombea faraja familia yake katika wakati huu mgumu
22,watanzania tuko pamoja na wamarekani wote na hasa familia ndugu na jamaa wa hayati kennedy katika wakati huu mgumu wa kuondokewa na kiongozi muhimu
23,UNK kwa mungu UNK nguvu na uvumilivu ilisema taarifa hiyo
24,seneta edward kennedy aliyefariki juzi kwa saratani ya ubongo UNK kwa muda mrefu anatarajiwa kuzikwa kesho pembeni mwa makaburi ya kaka zake wawili katika eneo la UNK national nje kidogo ya jiji la washington
25,familia kennedy ikiwajumuisha rais wa thebathini na tano wa marekani marehemu john kennedy robert kennedy edward kennedy na dada yao UNK UNK ilikuwa moja ya familia mashuhuri yenye ushawishi katika duru za siasa za marekani
26,katika kile kinachoonekana kuwa ni kujivua lawama mahakama kuu ya tanzania imesema haihusiki kwa namna yoyote na ucheleweshaji wa kesi ya samaki wa magufuli ambao wamekuwa UNK serikali gharama kubwa ya kuwatunza
27,mahakama kuu imesema kuwa serikali haijawahi kutuma maombi tena kuomba ruhusa ya kuwauza samaki hao baada ya ombi la kwanza kusitishwa kwa mujibu wa sheria na ombi la pili kuondolewa mahakama kuu na upande wa mashitaka
28,kwa mujibu wa taarifa ya mahakama hiyo iliyotolewa jana kwa vyombo vya habari amri ya kuwauza samaki hao kwa njia ya zabuni na mnada wa hadhara ilitolewa na mahakama ya hakimu mkazi kisutu aprili sita mwaka huu kabla shauri hilo UNK kusikilizwa katika mahakama hiyo na kuhamishiwa mahakama kuu
29,pamoja na amri hiyo ya kuwauza samaki hao baadae ilitolewa hoja ya kisheria iliyokubalika na pande zote kuwa mahakama ya hakimu mkazi kisutu haikuwa na mamlaka kisheria UNK shauri hilo kwa hiyo lilikuwa limefunguliwa kwenye mahakama hiyo kimakosa ilisema sehemu ya taarifa hiyo
30,aprili thebathini ilitolewa amri kusitisha mwenendo wa shauri hilo na kuelekeza kwa mujibu wa sheria ya mwenendo wa jinai shauri hilo UNK kwanza na mahakama hiyo baadae washtakiwa wapelekwe mahakama kuu kwa ajili ya shauri lao kusikilizwa
31,taarifa hiyo iliyosainiwa na msajili wa mahakama kuu bwana john utamwa ilisema mei ishirini na moja mwaka huu jamhuri ilituma maombi mahakama kuu ikiomba samaki hao wauzwe kwa kuwa wangeweza kuharibika lakini baadaye upande huo uliomba kuondoa maombi hayo huku mahakama ikitoa uhuru kwa ombi hilo kupelekwa tena kama UNK
32,mahakama haina jukumu la kukamata na kupeleka watuhumiwa
33,hivyo makosa ya kupeleka shitaka katika mahakama isiyo na mamlaka haiwezi kutafsiriwa kama ucheleweshaji wa wa shauri iliongeza kuwa hakukuwa na amri UNK uamuzi wa kwanza wa kuruhusu uuzwaji wa samaki hao kabla ya kusitishwa kwa mwenendo wa shauri la awali na wala serikali haijawahi kuomba kufanya hivyo baada ya kuondoa maombi yake ya pili
34,taarifa hiyo ya mahakama kuu imekuja baada ya hivi bwana magufuli kuitupia mpira mahakama kuwa inachelewesha kusikilizwa kwa shauri linalohusu raia thebathini na saba wa kigeni ambao wanatuhumiwa kuvua samaki kinyume cha sheria katika bahari ya hindi eneo la tanzania
35,samaki waliokamatwa kama kidhibiti UNK tani mia mbili na tisini na mbili wanadaiwa kuigharimu serikali kiasi cha shilingi milioni thebathini saba kwa mwezi kuwahifadhi katika kampuni ya bahari food mwenge dar es salaam
36,sakata la mradi wa upimaji na uthamini wa viwanja linalofanyika katika eneo la kigamboni temeke dar es salaam UNK familia ya baba wa taifa mwalimu julius nyerere nakujikuta ikitakiwa kuachia eneo lao
37,familia hiyo ya baba wa taifa ilihamia kijiji cha gezaulole kilichopo kigamboni tangu mwaka elfu moja na mia tisa na sitini na tatu baada ya kuhamasishwa na mke wa mwalimu mama maria nyerere
38,akizungumza na majira nyumbani kwake gezaulole kigamboni jana mzee warioba chacha alisema yeye na wenzake hao wa jamii ya wasimbiti kutoka mkoa wa mara UNK na mama maria kuwa kulikuwa na pori lenye rutuba nje kidogo ya jiji la dar es salaam hivyo wahamie na kuanzisha makazi
39,alisema walipofika eneo hilo kulikuwa na msitu UNK wenye wanyama wakali wakiwemo simba chui na fisi ambao walikuwa tishio kwa wenyeji na kuwafanya kuamua kuishi mbali na gezaulole
40,UNK hapa agosti elfu moja na mia tisa na sitini na tatu baada ya mama maria kutuambia tuje tuanzishe makazi hapa tulikuwa watu kumi na tatu na kwa sababu kulikuwa na wanyama wakali wenyeji wachache waliokuwa wakiishi hapa walikuwa wakilala kwenye nyumba ambazo walijenga juu ya miti kujilinda na wanyama wakali wakati wa usiku
41,mzee chacha alisema kutokana na msitu huo kuwa na miti mingi na mikubwa walishindwa kufyeka kwa kutumia mapanga na shoka ndipo mwalimu nyerere aliwapelekea matrekta matatu kusaidia shughuli hiyo
42,kwa kweli UNK jinsi UNK kusafisha eneo hili naona UNK alisema mzee chacha akionesha kupinga hatua ya kutakiwa kuachia maeneo hayo
43,akielezea UNK jicho lake la kulia baada ya kupigwa na mti alisema ilikuwa kazi ngumu ambayo sasa ilipaswa kutulia na kula matunda ya kazi hiyo na si kunyangganywa viwanja vyao
44,halafu sasa watu wanakimbilia kuja gezaulole na kutaka UNK nasikitika sana hivi unavyoniona nimevaa miwani mwaka huo nilipoteza jicho moja ambalo UNK baada ya kuchomwa mti mkubwa alisema mzee chacha huku akionesha sehemu ya jicho hilo
45,alisema baada ya kufyeka pori hilo walianza kulima mazao mbalimbali yakiwemo pamba viazi vitamu na matunda ambayo UNK
46,alisema mwaka elfu moja na mia tisa na sitini na nane UNK pamba ambayo UNK kwa kiasi kikubwa na kuwashinda kuvuna na baba wa taifa aliwapa vijana wa jeshi la kujenga taifa kuwasaidia
47,vijana hao walivuna pamba hiyo jumapili huku wakiongozwa na mwalimu nyerere na baada ya UNK walichambua katika madaraja ya ubora na UNK
48,alisema walipata fedha nyingi ambapo mwalimu nyerere aliwashauri kubuni miradi ambao ingekuwa endelevu hivyo UNK kuanza ufugaji wa kuku
49,alisema mradi wa kuku ulikuwa wa mafaniko kutokana na usimamizi wa mwalimu nyerere ambaye alifika mara kwa mara na kulala katika kijiji cha gezaulole hadi UNK gari kwa ajili ya kusafirisha